group	Row.names	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
sulfate_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	38	6	1	0	1	0	17	22	3	15	5	4	8	3	11	15	145	2	36	19	0	71	6	0	27	0	3	4	0
sulfur_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfite_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	38	6	1	0	1	0	17	22	3	15	5	4	8	3	11	15	145	2	36	19	0	71	6	0	27	0	3	4	0
arsenate_detoxification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	NA	260	979	481	225	474	1240	400	176	806	356	249	646	357	555	1562	766	462	1728	353	234	832	339	190	1013	110	522	1094	356	531	833	1664	1255	1034	1226	702	612	2422	1799	1122	1889	1057	1122	1255	351	659	1671	1351	3438	1887	1347	3168	1256	645	639	978	1966	1444	1768	1072	282
nitrite_denitrification	NA	260	979	481	225	474	1240	400	176	806	356	249	646	357	555	1562	766	462	1728	353	234	832	339	190	1013	110	522	1094	356	531	833	1664	1255	1034	1226	702	612	2422	1799	1122	1889	1057	1122	1255	351	659	1671	1351	3438	1887	1347	3168	1256	645	639	978	1966	1444	1768	1072	282
nitrous_oxide_denitrification	NA	260	979	481	225	474	1240	400	176	806	356	249	646	357	555	1562	766	462	1728	353	234	832	339	190	1013	110	522	1094	356	531	833	1664	1255	1034	1226	702	612	2422	1799	1122	1889	1057	1122	1255	351	659	1671	1351	3438	1887	1347	3168	1256	645	639	978	1966	1444	1768	1072	282
denitrification	NA	260	979	481	225	474	1240	400	176	806	356	249	646	357	555	1562	766	462	1728	353	234	832	339	190	1013	110	522	1094	356	531	833	1664	1255	1034	1226	702	612	2422	1799	1122	1889	1057	1122	1255	351	659	1671	1351	3438	1887	1347	3168	1256	645	639	978	1966	1444	1768	1072	282
chitinolysis	NA	17	41	109	1	112	25	8	13	2	7	84	44	3	99	78	11	33	147	11	39	13	2	42	60	0	175	5	0	51	28	52	88	68	191	125	135	79	130	96	113	63	101	59	48	47	60	95	92	87	248	41	112	68	90	133	87	140	38	63	31
knallgas_bacteria	ASV_1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0	0	0	0	2	5	1	16	0	1	46	3	2	3	6	1	19	9	11	67	15	11	11	10	22	7	0	0	6	0	0	10	0	3
dark_hydrogen_oxidation	NA	321	979	487	303	540	1392	490	178	818	471	262	678	394	588	1590	769	478	1775	384	250	852	377	204	1019	176	559	1108	356	539	859	1693	1381	1088	1301	841	721	2520	1875	1253	1970	1074	1202	1329	410	754	1794	1404	3748	1919	1408	3226	1291	708	682	1019	2031	1572	1828	1108	358
nitrogen_fixation	NA	49	79	152	5	66	25	13	2	0	8	40	8	7	45	26	11	62	132	2	44	23	2	37	31	0	190	2	9	33	10	249	83	49	106	126	70	47	43	46	92	27	52	84	3509	139	34	100	50	55	76	36	95	52	69	59	48	171	39	238	13
nitrate_ammonification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	NA	260	979	481	225	474	1240	400	176	806	356	249	646	357	555	1562	766	462	1728	353	234	832	339	190	1013	110	522	1094	356	531	833	1664	1255	1034	1226	702	612	2422	1799	1122	1889	1057	1122	1255	351	659	1671	1351	3438	1887	1347	3168	1256	645	639	978	1966	1444	1768	1072	282
cellulolysis	NA	2	3	7	3	2	37	1	2	0	1	0	0	4	0	10	0	26	5	9	5	1	15	3	0	0	16	12	14	2	7	10	38	19	48	1	46	28	22	59	33	5	21	37	38	104	23	16	10	21	34	15	28	12	45	51	46	39	32	33	63
xylanolysis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfide_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_oxidation_of_sulfur_compounds	NA	5	15	18	1	14	12	3	1	0	2	4	0	1	7	3	4	3	20	0	11	14	22	16	11	1	33	2	2	13	6	47	47	34	111	6	50	85	67	52	89	31	32	68	31	65	46	32	60	54	59	32	69	23	22	86	42	23	85	44	6
manganese_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
manganese_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fermentation	NA	2575	3769	15238	4109	8210	10940	6510	10563	10655	4822	3696	6648	919	5038	9282	3239	1604	6413	3696	6326	11692	3631	4159	9743	14128	7975	20807	15951	13687	18711	2079	13899	13413	2845	9638	13612	3170	6442	10183	4600	11106	12771	3038	9566	13714	3882	10938	5600	3022	9945	11524	2338	6403	10681	2238	7505	13783	3328	5581	13601
aerobic_chemoheterotrophy	NA	62743	33028	22383	32532	25458	32800	41993	26845	38664	47269	18095	27403	22219	22489	33364	43762	14052	25347	42318	19427	31659	36191	13048	32020	42455	25238	34761	44172	29942	40679	32406	20752	15565	26263	17257	14293	32971	24999	20971	30278	19303	24022	26083	25993	17058	27346	19493	35019	26719	21217	25791	24886	12876	13041	29425	14141	20172	32200	23937	12665
invertebrate_parasites	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	NA	76	80	235	16	78	36	7	67	90	9	36	121	18	66	57	11	130	90	22	53	262	6	68	6	7	92	23	17	54	62	4822	506	1305	404	306	1549	281	282	219	377	440	363	290	262	1351	151	148	274	118	487	153	317	260	1335	376	182	427	114	385	1605
fish_parasites	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	NA	4	83	33	1	32	28	6	4	2	0	6	16	0	17	16	1	3	8	4	35	1548	0	54	0	2	21	8	7	39	35	45	309	219	54	112	193	47	62	120	34	252	190	37	179	216	50	76	31	40	133	99	79	98	202	80	83	156	131	155	249
human_associated	NA	80	163	268	17	110	64	13	71	92	9	42	137	18	83	73	12	133	98	26	88	1810	6	122	6	9	113	31	24	93	97	4867	815	1524	458	418	1742	328	344	339	411	692	553	327	441	1567	201	224	305	158	620	252	396	358	1537	456	265	583	245	540	1854
mammal_gut	NA	4	83	33	1	32	28	6	4	2	0	6	16	0	17	16	1	3	8	4	35	1548	0	54	0	2	21	8	7	39	35	45	309	219	54	112	193	47	62	120	34	252	190	37	179	216	50	76	31	40	133	99	79	98	202	80	83	156	131	155	249
animal_parasites_or_symbionts	NA	301	259	410	775	517	500	216	119	119	390	385	216	38	1225	932	281	287	444	178	3886	4113	497	527	176	1758	361	1562	185	459	887	5071	5161	3233	707	2046	4485	623	1099	1423	999	2683	3410	874	2264	3772	503	1263	627	552	3122	3321	825	2498	2925	1200	1389	2461	566	1625	3651
plant_pathogen	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	NA	97	79	115	104	128	430	64	261	36	365	33	177	93	105	187	171	34	90	79	39	125	31	25	77	145	65	184	17	79	127	202	128	174	678	326	1865	386	470	180	325	349	106	296	172	106	337	188	314	271	356	1270	713	128	211	478	231	502	339	435	78
aromatic_compound_degradation	NA	272	528	822	296	1205	1114	210	722	329	511	466	1102	245	714	1052	440	855	568	380	539	461	159	332	2841	234	669	482	184	798	887	1518	1370	1401	4064	1123	3561	3302	2283	2509	3398	1860	6860	2484	758	5327	4456	4645	12326	2979	3300	7210	2664	821	1703	1980	1794	3001	3629	3561	5989
aliphatic_non_methane_hydrocarbon_degradation	NA	92	79	115	95	128	430	60	261	36	72	33	177	46	105	187	169	34	90	69	39	125	27	25	74	18	65	184	17	79	127	202	128	174	678	326	1865	386	470	180	325	349	106	296	172	106	337	188	314	271	356	1270	713	128	211	478	231	502	339	435	78
hydrocarbon_degradation	NA	97	79	115	104	128	430	64	261	36	365	33	177	93	105	187	171	34	90	79	39	125	31	25	77	145	65	184	17	79	127	202	128	174	678	326	1865	386	470	180	325	349	106	296	172	106	337	188	314	271	356	1270	713	128	211	478	231	502	339	435	78
dark_iron_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_respiration	NA	337	1028	846	252	825	1372	459	525	892	380	396	847	388	929	1786	803	679	1900	409	507	1072	362	323	1092	129	715	1169	359	663	965	1917	1591	1514	1631	978	1217	2718	2130	1364	2260	1332	1590	1721	535	959	1875	1529	3840	2122	1896	3513	1614	908	1080	1632	2170	1947	2005	1518	624
nitrate_reduction	NA	492	1951	1784	350	1521	1855	550	828	944	789	774	1862	488	1597	2841	1175	1009	2384	726	3844	2901	1161	579	2908	325	1535	1597	479	947	1438	2497	2999	3053	2872	1650	3025	4042	2819	3698	3393	2902	3536	2472	1402	3640	2598	2288	4942	2863	2918	5344	3044	1425	2898	2440	3194	4919	2749	2263	3288
nitrogen_respiration	NA	337	1028	846	252	825	1372	459	525	892	380	396	847	388	929	1786	803	679	1900	409	507	1072	362	323	1092	129	715	1169	359	663	965	1917	1591	1514	1631	978	1217	2718	2130	1364	2260	1332	1590	1721	535	959	1875	1529	3840	2122	1896	3513	1614	908	1080	1632	2170	1947	2005	1518	624
fumarate_respiration	NA	1	2	13	0	151	33	5	0	0	1	79	7	1	302	138	1	8	41	17	189	61	0	16	41	0	40	15	1	21	35	3	54	5	17	56	7	16	28	10	19	57	216	8	32	22	5	20	9	24	79	202	18	69	61	7	34	25	14	38	17
intracellular_parasites	NA	1	5	2	2	16	1	1	1	5	3	2	0	2	11	9	2	9	14	1	8	1	8	20	14	0	13	15	0	25	11	91	21	27	93	18	16	59	28	22	195	1	19	232	10	36	60	11	11	75	21	28	125	12	20	282	7	127	104	12	7
chlorate_reducers	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	NA	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	8	31	5	13	100	0	12	6	13	0	3	7	2	0	7	4	0	6	0	9	4	4	7	1	7	23	1	15	7	7
chloroplasts	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photosynthetic_cyanobacteria	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_Fe_oxidizing	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxygenic_photoautotrophy	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoautotrophy	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aerobic_anoxygenic_phototrophy	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	NA	2	8	6	5	12	0	2	1	0	2	4	4	0	3	2	8	0	14	4	3	1	0	8	0	2	14	3	0	9	8	14	21	13	38	43	17	7	28	28	19	6	20	6	1	8	7	15	2	10	10	2	23	7	9	27	7	1	18	15	3
phototrophy	NA	2	8	6	5	12	0	2	1	0	2	4	4	0	3	2	8	0	14	4	3	1	0	8	0	2	14	3	0	9	8	14	21	13	38	43	17	7	28	28	19	6	20	6	1	8	7	15	2	10	10	2	23	7	9	27	7	1	18	15	3
plastic_degradation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	NA	234	409	284	72	174	111	32	3	102	38	124	54	60	690	141	158	215	240	64	137	86	47	295	202	10	1012	18	71	124	64	7233	2371	768	1713	959	1120	2164	8628	771	3214	4968	846	6342	6137	1736	2086	739	1712	1362	875	305	2034	1489	919	1407	926	541	2084	3065	207
reductive_acetogenesis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	NA	63461	34252	35440	33334	28330	34502	42583	31576	39542	47983	19710	29110	22593	26716	36643	46022	15109	27324	43387	21460	40220	37060	15662	33279	43112	28588	39470	45225	31642	41814	36293	32122	27429	29310	24149	28908	36875	37411	27735	36044	32836	34187	34167	36716	30635	31026	26578	38916	29567	30332	36602	28426	18650	22328	32361	21303	30311	35555	29621	24805
